"","trial","electrodes","bin_1","bin_2","bin_3","bin_4","bin_5","bin_6","bin_7","bin_8","bin_9","bin_10","bin_11","bin_12","bin_13","bin_14","bin_15","X","SID","newround_time","choice_time","buttonpress_time","reveal_time","self_payoff","other_payoff","self_foregone","other_foregone","RT","side_chosen","self_var_payoff","other_var_payoff","ineq_var_abs","ineq_choice_abs","ineq_foregone_abs","ineq_foregone","ineq_disadvent","ineq_advent","ineq_disadvent_choice","ineq_advent_choice","ineq_var","ineq_choice","chose_equality","self_diff","other_diff","L_self","R_self","L_other","R_other"
"42",2,"LIP6-LIP7",0.000530993499999965,0.4127085935,0.7913916715,0.809151439,0.746930327,0.702206127,0.6598079265,0.6657193815,0.7600606935,0.6474052435,0.828372466,1.236714391,1.1887798825,1.052493585,0.694009085,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"43",2,"LIP8-LIP9",0.6462503707,0.4313073407,0.2036846907,-0.0275109593,-0.1178449158,-0.2654815858,-0.23224378365,0.02085641635,0.23597466635,0.62202676635,0.9090686142,0.9132753642,0.7515871257,0.4132651757,0.0846942757,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"44",2,"LAM4-LAM5",-0.4785112165,-1.0432700465,-1.0787553465,-0.69869443,-0.17812668,0.19656495,0.02367462,-0.439452911,-0.977928921,-0.960676021,-0.8943864895,-0.7768523935,-0.2753678835,-0.2767474335,-0.027349235,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"45",2,"LHH5-LHH6",0.1620435265,-0.19392621569,-0.15598456569,0.00683043430999997,0.27310222031,0.5200050625,0.287004363,-0.054142937,-0.433072187,-0.446939012,-0.1605382125,0.0629378375,0.4063731875,0.3354749625,0.2548261625,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"46",2,"LIP1-LIP2",-0.197256956,-0.25257917,-0.0176615855,0.1554842855,0.095357126,0.273488709,0.4033710245,0.315989883,0.1590199635,-0.1231287195,-0.5047616695,-0.769960188,-0.704329038,-0.615431288,-0.598404038,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"47",2,"LHB8-LHB9",0.08082460025,0.01319644275,-0.01850999875,0.37868600125,0.76600023875,1.05438397125,1.27834425675,1.03497965675,0.65591843675,0.52419303675,0.48545799515,0.37385849515,0.10728046515,-0.27529578485,-0.53821239325,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"48",2,"LHB6-LHB7",0.31400237,0.18531927,-0.13682543,-0.324444578,-0.730412278,-0.928452837,-1.0509558725,-1.3210201745,-1.3433999245,-1.5658376155,-1.71486218,-1.60289573,-1.52478858,-1.49731628,-1.46514953,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"49",2,"LHB7-LHB8",0.3324682625,0.5076020925,0.607738538,0.847473138,0.911715788,0.895372358,0.821408342,0.435825192,0.2574055285,0.3351040285,0.416180351,0.619345751,0.497472743,0.086073643,-0.204901857,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"50",2,"LAM6-LAM7",-0.38678341,-0.5199773135,-0.3348705035,0.00820094650000003,0.7269381965,1.0709546,0.899293072,0.514457322,-0.1646137619,-0.3321803119,-0.0703740339,0.1695578161,0.5305291,0.4596821,0.30180275,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"51",2,"LAM7-LAM8",0.297136643,0.465823733,0.427940533,0.41520410975,0.7846407299,1.3666453799,1.7264139799,1.80244981515,1.2888757765,0.4396107765,-0.0804902345,-0.0757195528,-0.0440664528,-0.0284598028,-0.1334541918,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
